count_commentators,count_editions,count_bibentries,count_lines,html
1,0,1,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent""><a href=""#b_hinc1963"" class=""ref bibl"">Hinman</a> (1963, 2:389&ndash;92), using evidence drawn from rules, the misnumbering of p. 86 as 88, and the patterns of recurring distinctive type, demonstrates that quire H was set in the normal Folio fashion, that is, set by formes from the innermost to the outermost type pages, from cast-off copy, by compositors setting forme pages simultaneously. Quire I was set out of normal sequence (<a href=""#b_hinc1963"" class=""ref bibl"">ibid.</a> 2:395&ndash;7): I3<sup>v</sup>:4, I3:4<sup>v</sup>, I1<sup>v</sup>:6, I2:5<sup>v</sup>, I1:6<sup>v</sup>, I2<sup>v</sup>:5, where I3&ndash;I6<sup>v</sup> contain <i>Ado</i>. Hinman has no explanation for this odd order of setting. Compositors C, D, and B set the play.</p>"
4,0,4,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">Each compositor normally set from his own type case and distributed the pages he had set; <a href=""#b_hinc1963"" class=""ref bibl"">Hinman</a> calls these cases x, y, and z. He makes this analysis by observing the recurrence of battered individual types in successive formes and by charting the order of setting and of distributing the types back into their type cases (for <i>Err.</i>, 2:388&ndash;97). He correctly assigns B&rsquo;s pages but is uncertain about a few pages he thinks were set by Compositor D: H3, H2, H1<sup>v</sup>, and H1. He proved to be wrong about H4<sup>b</sup> and H2<sup>v</sup> as well. Further analysis by <a href=""#b_howt1973"" class=""ref bibl"">Howard-Hill</a> (1973), <a href=""#b_ocoj1975"" class=""ref bibl"">O&rsquo;Connor</a> (1975), and <a href=""#b_werp1982"" class=""ref bibl"">Werstine</a> (1982) has apparently settled the compositors&rsquo; stints. I use Werstine&rsquo;s case designations (r, s, t) because Hinman could not identify the cases correctly until quire I. Formes in parentheses indicate the setting of <i>Ado</i>.</p>"
1,0,1,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">Once <a href=""#b_hinc1963"" class=""ref bibl"">Hinman</a> had determined the order of printing and made what compositorial assignments he could, others turned to solving the questions he candidly raised, especially about printing the comedies, undertaken in Jaggard&rsquo;s printing house simultaneously with the printing of Thomas Wilson&rsquo;s <i>Christian Dictionary</i> (1622) (1:343&ndash;6).</p>"
3,0,4,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent""><a href=""#b_mckd1984 #b_mckd1969"" class=""ref bibl"">McKenzie</a> (1969 and 1984) has attacked the enterprise of inferring much about the order of printing as detailed by Hinman, or detecting spacing preferences such as Howard-Hill and others have done. He in turn has been opposed by <a href=""#b_jacm1987"" class=""ref bibl"">Jackson</a> (1987) and <a href=""#b_tang1991"" class=""ref bibl"">Tanselle</a> (1991), who judge that the force of corroborative evidence of various kinds brings assurance of validity.</p>"
7,0,7,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">The work on the compositors done by <a href=""#b_wile1932"" class=""ref bibl"">Willoughby</a> (1932), <a href=""#b_wala1953"" class=""ref bibl"">Walker</a> (1953), and <a href=""#b_hinc1963"" class=""ref bibl"">Hinman</a> (1963) was refined by <a href=""#b_howt1973"" class=""ref bibl"">Howard-Hill</a> (1973), <a href=""#b_ocoj1975"" class=""ref bibl"">O&rsquo;Connor</a> (1975), <a href=""#b_reis1976"" class=""ref bibl"">Reid</a> (1976), and <a href=""#b_werp1982"" class=""ref bibl"">Werstine</a> (1982), who have settled the stints of these three in <i>Err.</i> The earlier spelling tests showed Compositor B&rsquo;s preference for spelling <i>do</i>, <i>go</i>, <i>heere</i>. His reputation as a bad typesetter of Sh.&rsquo;s plays (Walker) has been rehabilitated by Werstine, and now he is regarded as one of the best who worked on F. Reid expands the list of B&rsquo;s spelling preferences. Hinman (1:193&ndash;6) first identifies Compositor C as a <i>doe</i>, <i>goe</i>, <i>here</i> speller, and (1:196&ndash;7) Compositor D as one who slightly prefers <i>doe</i>-<i>goe</i> to <i>do</i>-<i>go</i>, and strongly prefers <i>here</i>.</p>"
2,0,2,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent""><a href=""#b_howt1973"" class=""ref bibl"">Howard-Hill</a> expands the typesetting habits beyond <a href=""#b_wala1953"" class=""ref bibl"">Walker</a>&rsquo;s simple spelling tests. He adds to the list of spelling preferences and shows that compositors treated spaced and unspaced commas in short lines and at the ends of lines in distinguishable ways. He also (p. 71) notices that there are occasions on which compositors, obliged to turn over a line of verse which was too long for their measure, and unable or unwilling to set it as a turn-down or turn-up at the right margin of the column, have carried the remaining part of the line on to the next line. Often these have been indented from the left-hand margin. These lines he calls indented turn-overs. He gives the following table of indented turnovers up to <i>WT</i>: Compositor B C D Pages set 14 2 20 Occurrences 20 2 94 On the basis of these preferences, he says (p. 72): It is therefore more likely than not that any page with more than one such indented turn-over was set by compositor D, and it is very unlikely to have been set by.&nbsp;.&nbsp;. C.</p>"
2,0,2,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">These preferences show Compositor C at work in quire H on columns <a href=""#b_hinc1963"" class=""ref bibl"">Hinman</a> is unsure about (H3<sup>a</sup>, H2<sup>b</sup>, H1<sup>va</sup>, H1<sup>a and b</sup>) and correct <a href=""#b_hinc1963"" class=""ref bibl"">Hinman</a>&rsquo;s attribution of H4 and H2<sup>v</sup> from Compositor D to Compositors C and D. <a href=""#b_howt1973"" class=""ref bibl"">Howard-Hill</a> does not use damaged-type evidence to corroborate his spelling or psychomechanical evidence such as spacing, but his expansion of typesetting habits greatly improves identification of compositors and their stints.</p>"
3,0,3,8,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent""><a href=""#b_ocoj1975"" class=""ref bibl"">O&rsquo;Connor</a> accepts <a href=""#b_howt1973"" class=""ref bibl"">Howard-Hill</a>&rsquo;s reassignments except for H3<sup>v</sup> (he assigns it to Compositor C, not <a href=""#b_hinc1963"" class=""ref bibl"">Hinman</a>&rsquo;s and Howard-Hill&rsquo;s D) and the last twenty lines of H5<sup>vb</sup> (which he assigns also to Compositor C, not D). He usefully invents (p. 89) the term indented flow-over for Howard-Hill&rsquo;s indented turn-overs. Despite D&rsquo;s clear preference for indented flow-overs&mdash;36 on H3<sup>v</sup>&mdash;O&rsquo;Connor assigns H3<sup>v</sup> to C because he finds C&rsquo;s preferred <i>you&rsquo;ll</i> (<a href=""#tln_0663"" class=""ref lb"">663</a>, <a href=""#tln_0692"" class=""ref lb"">692</a>, <a href=""#tln_0702"" class=""ref lb"">702</a>) and the contractions <i>y<sup>e</sup></i>, <i>y<sup>u</sup></i>, <i>y<sup>t</sup></i> on that page; he accounts for the flow-overs as the result of tumbling-verse dialogue [in H3<sup>v</sup> and L6&ndash;L6<sup>v</sup>], where little or no room exists for a turn-over (p. 90). This assignment of all H3<sup>v</sup> has not been generally accepted, but that of H5<sup>vb</sup> <a href=""#tln_1235"" class=""ref lb"">1235&ndash;54</a> to Compositor C has been. There O&rsquo;Connor (pp. 112&ndash;13) finds <i>gon</i> and <i>wee&rsquo;ll</i>, C preferences, as well as a failure to fill out line <a href=""#tln_1234"" class=""ref lb"">1234</a> with a short <i>And</i> for which there is room; he compares <a href=""#tln_1200"" class=""ref lb"">1200</a>, where <i>but</i> fills the line, and he argues that between <a href=""#tln_1234"" class=""ref lb"">1234</a> and <a href=""#tln_1235"" class=""ref lb"">1235</a> something caused Compositor C to replace D. Like Howard-Hill, O&rsquo;Connor expands the number and range of spelling preferences that help identify individual compositors; like him, O&rsquo;Connor does not use battered-type evidence to support his spelling preferences.</p>"
4,0,4,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">It remained for <a href=""#b_werp1982"" class=""ref bibl"">Werstine</a> (1982) to test <a href=""#b_hinc1963"" class=""ref bibl"">Hinman</a>&rsquo;s battered-type tables to see whether they could corroborate the newly assigned compositorial stints of <a href=""#b_howt1973"" class=""ref bibl"">Howard-Hill</a> and <a href=""#b_ocoj1975"" class=""ref bibl"">O&rsquo;Connor</a>. Hinman, believing that only two compositors set quire H (but open to the possibility that one or more other workmen participated in setting the quire), is puzzled by observing that types from the upper and lower portions of a preceding type page recur in the work of compositors different from the ones who set the preceding page; this means that compositors distributed parts of the same type pages, in a way unlike the normal Folio practice&mdash;normal after a few more quires had been set&mdash;of each compositor&rsquo;s distributing only his own pages. Werstine, using the types identified by Hinman, confirms or slightly changes the stints analyzed by Howard-Hill and O&rsquo;Connor; he shows that in fact from the beginning of Folio setting, three type cases were employed, the ones Hinman only firmly locates as beginning in quire K.</p>"
3,0,3,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">Case differentiation settles the <a href=""#b_howt1973"" class=""ref bibl"">Howard-Hill</a>&ndash;<a href=""#b_ocoj1975"" class=""ref bibl"">O&rsquo;Connor</a> assignments of H3<sup>v</sup> (Compositor D) and lower H5<sup>vb</sup> (Compositor C). <a href=""#b_werp1982"" class=""ref bibl"">Werstine</a> points out that, because no forme in quire H was set entirely by a single compositor, each forme provided an opportunity for simultaneous composition by at least two workmen and sometimes by all three (p. 212; he judges that all but H2:5<sup>v</sup> and H3<sup>v</sup>:4 underwent some degree of simultaneous composition).</p>"
1,0,1,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">He draws (p. 234) two major implications for editors and textual critics of the early Folio comedies. The first deals with cast-off copy for quires G and H. Ordinarily, as <a href=""#b_hinc1963"" class=""ref bibl"">Hinman</a> observed, when a quire was set in normal Folio printing order, there was need to cast off copy only for the first half of the quire, since the pages of the second half were set in their reading sequence [4&ndash;6<sup>v</sup>]..&nbsp;.&nbsp;. However, simultaneous composition of successive formes of a quire&mdash;possible for quire G, probable for quire H&mdash;would have necessitated casting off copy for both halves of the quire so that compositors could work concurrently from separate blocks of copy to set pages of the second half of the quire. Thus editors must be wary of compositorial attempts to stretch or squeeze the texts of <i>MM</i> and <i>Err.</i> into the space available. One such attempt is evident in the last half of quire H at the bottom of H5<sup>v</sup>b, set by Compositor C, and the top of H6a, set simultaneously by Compositor B, where verse is compressed into prose. Second, identification of cases x, y, and z [his former r, s, t] in quires G&ndash;I confirms attribution of pages in these quires to Compositors B, C, D, and F. Editors of the Folio Comedies may then have greater confidence in using the available studies of compositorial accuracy in arriving at judgments about when and how to emend. (<a href=""#b_werp2001"" class=""ref bibl"">Werstine</a> [2001], doubts that Compositor F, supposed to have set pages of the four comedies preceding <i>Err.</i> from Ralph Crane copy, can be differentiated from Compositor D, i.e., he does not exist.)</p>"
1,0,1,2,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent""><a href=""#b_werp2001"" class=""ref bibl"">Werstine</a>&rsquo;s example of verse compressed into prose on H5<sup>vb</sup>&ndash;H6<sup>a</sup> is weakened by observing how erratic that verse is (<a href=""#tln_1254"" class=""ref lb"">1254&ndash;8</a>; what did the compositors see in their copy? <a href=""#cn_1254a"" class=""ref note_cn"">see n.</a>), and how much white space appears in the SDs on H6. The evidence of compression on H5<sup>vb</sup> is the turnunder of (<i>sup</i>|<i>ping</i> (<a href=""#tln_1248"" class=""ref lb"">1248&ndash;9</a>)&mdash;one of only three turnunders in the entire play, one by each compositor&mdash;and, in the last line of the column, no space between the SP and the first line of a prose-lined speech, which is squeezed in when the last word <i>naile</i> might have been set on the next page. However, Compositor B&rsquo;s H6<sup>a</sup> shows no sign of compression carrying over from H5<sup>vb</sup>. As Werstine argues, Compositor B was probably setting H6 simultaneously from cast-off copy, leaving Compositor C to make all the necessary adjustments to get his allotted text into his type pages; nothing about the difficulty of reading printer&rsquo;s copy can be inferred from how B set the top of H6.</p>"
2,1,1,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">Because the compositors are setting from Sh.&rsquo;s MS for the first time, how they punctuated their stints proves interesting. If Hand D of <i>Sir Thomas More</i> is really Sh.&rsquo;s, he punctuated very lightly; indeed, fewer than 20 marks appear in the type facsimile in <a href=""#s_evns"" class=""ref witness"">Evans</a> (ed. 1974, pp. 1686&ndash;96). Such light pointing would impede reading comprehension, so when such copy came to the printing house, it <i>is look&rsquo;d on as a task and duty incumbent on the</i> Compositor, <i>viz. to discern and emend the bad</i> Spelling <i>and</i> Pointing <i>of his Copy</i> (<a href=""#b_moxj1683"" class=""ref bibl"">Moxon</a>, 1683&ndash;4; 1962, p. 192). Moxon goes on to say (p. 215): As he <i>Sets</i> on, he considers how to <i>Point</i> his Work, viz. when to <i>Set</i> , where ; where : and where.&nbsp;.&nbsp;. . But the Rules for these having been taught in many School-books, I need say nothing to them here, but refer you to them. If Sh. carefully punctuated <i>Err.</i>, we would expect the compositors to follow his punctuation in such matters as the use of colons, semicolons, periods, and capitalization after midline question marks and periods; they were expected to follow good copy <i>strictly</i> (p. 192). In too lightly pointed copy, however, they were to make sense of the text. What happens is that each compositor treats the pointing differently. I do not mean that each compositor parses his text in a distinguishable way but rather that each shows preferences in his choice of punctuation marks. The following chart shows how each compositor handles colons and semicolons between the beginning and the end of verse lines and within prose passages; how frequently each capitalized after internal question marks; and how often each capitalized after an internal period. The relative lack of midline punctuation in the figures below reflects the fact that in Sh.&rsquo;s early blank verse the clause and the metrical line coincide most of the time.</p>"
0,0,0,8,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">In this play with two Dromios and two Antipholuses, keeping the Ephesians and the Syracusans straight is useful, especially for a reader. So when D and C begin setting (H3<sup>v</sup> for D, H4<sup>a</sup> for C), they distinguish, though not consistently, which Antipholus and which Dromio is speaking. They probably had some guidance from their copy, but they apparently choose the form of the SP. Compositor D sets <i>E. Anti.</i>, <i>E. Ant.</i>, and <i>E. An.</i> 5 times (all in column a), and plain <i>Anti.</i> 3 times and <i>Ant.</i> once. By column b he has settled on <i>Anti.</i> and <i>Ant.</i> He distinguishes between <i>E.</i> and <i>S.</i> Dromio in 26 prefixes. When he sets H4<sup>b</sup>, however, he sets <i>Ant.</i> 9 times after an initial <i>S. Anti.</i>, and one <i>S. Dro.</i> to two <i>Dro.</i> Compositor C, setting column a, sets only <i>Ant.</i> and <i>Anti.</i> (He also sets <i>Iuliana</i> and <i>Iulia.</i>, apparently unable to read Sh.&rsquo;s indication that Luciana enters and speaks. He gets the names right thereafter.) As C continues to set his pages, however, he always but thrice (<a href=""#tln_0352"" class=""ref lb"">352</a>, <a href=""#tln_0355"" class=""ref lb"">355</a>, <a href=""#tln_0358"" class=""ref lb"">358</a>) sets <i>E. Dro.</i> (6 times) or <i>S. Dro.</i> (28 times) plus a crowded <i>S. Dr.</i>, and Compositor D thereafter fails to use the markers only 5 times (<a href=""#tln_0179"" class=""ref lb"">179</a>, <a href=""#tln_0550"" class=""ref lb"">550</a>, <a href=""#tln_0868"" class=""ref lb"">868</a>, <a href=""#tln_0872"" class=""ref lb"">872</a>, <a href=""#tln_1136"" class=""ref lb"">1136</a>), 2 of them at the bottom of H4<sup>b</sup> where he seems to be running out of space for the allotted words.</p>"
0,0,0,1,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">The Antipholuses are treated differently. They are hardly ever distinguished, as for example on H2<sup>vb</sup>, where Compositor C sets 17 <i>S. Dro.</i>s and 14 <i>Ant.</i>s (plus 1 <i>Antiph.</i>, 1 <i>Anti.</i>, and 2 <i>An.</i> in a full line and a catchword). Only in Act 5, when at <a href=""#tln_1820"" class=""ref lb"">1820</a> the brothers start appearing together, does Compositor B, or the copy, consistently identify them.</p>"
1,0,1,7,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">Compositor B has been studied thoroughly, including his setting of verse as prose by <a href=""#b_werp1978a"" class=""ref bibl"">Werstine</a> (1984), who does not study <i>Err.</i> because he deals with how compositors change printed copy in setting F, and how Compositors A and B demonstrate different lining habits. Compositor B&rsquo;s tendency to set SDs flush right has been noticed, but no one has observed another punctuating habit, that of omitting periods in many SDs and, in <i>Err.</i> but not often in the other plays he set, at the ends of sentences that fill up his type measure. In the comedies, only Compositor B regularly omits periods in SDs; Compositor D does it once much later (Q4<sup>vb</sup> 456), and Compositor A also once (Aa2<sup>vb</sup> 452). (In the histories, Compositor A fails to punctuate just seven times; in the tragedies, when Compositor E appears, he fails to punctuate about as often as B.) These full-set lines lack periods: <a href=""#tln_1111"" class=""ref lb"">1111</a>, <a href=""#tln_1388"" class=""ref lb"">1388</a>, <a href=""#tln_1398"" class=""ref lb"">1398</a>, <a href=""#tln_1562"" class=""ref lb"">1562</a>, <a href=""#tln_1597"" class=""ref lb"">1597</a>, <a href=""#tln_1851"" class=""ref lb"">1851</a>, <a href=""#tln_1901"" class=""ref lb"">1901</a>.</p>"
2,0,2,4,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">We saw above that <a href=""#b_howt1973"" class=""ref bibl"">Howard-Hill</a> and <a href=""#b_ocoj1975"" class=""ref bibl"">O&rsquo;Connor</a> were interested in <i>indented</i> flow-overs as a way of distinguishing compositors. I am now looking at what happens when compositors do <i>not</i> indent turned verse lines. A feature of F1 <i>Err.</i> is lines of verse set as prose, scattered between <a href=""#tln_0347"" class=""ref lb"">347</a> and <a href=""#tln_1914"" class=""ref lb"">1914&ndash;15</a> but clustering in the work of Compositor B (<a href=""#tln_1335"" class=""ref lb"">1335</a> through <a href=""#tln_1916"" class=""ref lb"">1916</a>), as listed below. In most of the instances involving 10-syllable lines, one or two words are turned under at the left margin for lack of space in the first type line. To produce these flow-overs, all three compositors often set extra spaces between words and commas.</p>"
0,0,0,4,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">Likewise, variable spacing&mdash;compressed and expanded&mdash;is a standard way compositors meet the demands of fitting text into the space available. Expanded spacing is used to make space to fit in text that has been undercounted in casting off. The frequency with which Compositor B uses expanded spacing seems to have no bearing on this verse lined as prose, since he could have indented his flow-overs and achieved the same spatial effect. Compositor B expands normal spacing significantly more often than the others do, especially in <i>Err.</i>, where he is setting from a different kind of copy from what he had before. Here are examples of his practice, contrasting normal spacing with extra spacing. <p class=""noindent"">Free from these slanders, and this open shame. [normal spacing]</p><br></br> <br></br><b>Anti.</b><p class=""noindent"">Din&rsquo;d at home ? Thou Villaine, what sayest <br></br>thou? [extra] <a href=""#tln_1351"" class=""ref lb"">1351&ndash;3</a></p><br></br> or <b>Dro.</b><p class=""noindent"">Perdie, your doores were lockt , and you shut <br></br>out. [extra] <a href=""#tln_1356"" class=""ref lb"">1356&ndash;7</a></p><br></br> There is not quite enough space to fit <i>thou?</i> and <i>out.</i> into <a href=""#tln_1352"" class=""ref lb"">1352</a> and <a href=""#tln_1356"" class=""ref lb"">1356</a>, so Compositor B adds spaces to justify the line before going on.</p>"
0,0,0,3,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">Compositor B does not try hard to fit the verse line into the type line by abbreviation: but see <i>husb&atilde;d</i> (<a href=""#tln_1608"" class=""ref lb"">1608</a>), <i>y</i><sup>t</sup> (a logotype, the <i>t</i> above the cleft of the <i>y</i>) (<a href=""#tln_1673"" class=""ref lb"">1673</a>), and <i>&amp;</i> (<a href=""#tln_1909"" class=""ref lb"">1909</a>), as well as the missing periods noted above. This list does not include SDs set flush with the right margin, which he punctuates with periods about half the time (8 of 15).</p>"
0,0,0,4,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">Compositor D abbreviates when he can: If y<sup>e</sup> skin were parchment, &amp; y<sup>e</sup> blows you gaue were ink, (<a href=""#tln_0631"" class=""ref lb"">631</a>, with two logotypes); <i>counterm&atilde;ds</i> (<a href=""#tln_1146"" class=""ref lb"">1146</a>), <i>Iudgm&#7869;t</i> (<a href=""#tln_1149"" class=""ref lb"">1149</a>), <i>hel</i> (<a href=""#tln_1149"" class=""ref lb"">1149</a>).</p>"
0,0,0,1,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">The single certain example from Compositor C&rsquo;s work (<a href=""#tln_0442"" class=""ref lb"">442&ndash;4</a>) is slightly different; see the discussion below: <b>S.Dro.</b><p class=""noindent"">Was there euer anie man thus beaten out of <br></br>season, when in the why and the wherefore, is neither <br></br>rime nor reason. Well sir,I thanke you.</p><br></br></p>"
