n,count_commentators,count_lines,text
159,0,0,"<dl><dt><span class=""line"" id=""tln_0159-speech"">Iaylor.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0159"">I will my Lord.</span></p></dd></dl>"
160,7,1,"<dl><dt><span class=""line"" id=""tln_0160-speech"">Merch.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0160"">Hopelesse and helpelesse doth Egean wend, </span><span class=""line"" id=""tln_0161"">But to procrastinate his liuelesse end.</span></p></dd></dl>"
163,20,7,"<dl><dt><span class=""line"" id=""tln_0163-speech"">Mer.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0163"">Therefore giue out you are of Epidamium, </span><span class=""line"" id=""tln_0164"">Lest that your goods too soone be confiscate: </span><span class=""line"" id=""tln_0165"">This very day a Syracusian Marchant </span><span class=""line"" id=""tln_0166"">Is apprehended for a riuall here, </span><span class=""line"" id=""tln_0167"">And not being able to buy out his life, </span><span class=""line"" id=""tln_0168"">According to the statute of the towne, </span><span class=""line"" id=""tln_0169"">Dies ere the wearie sunne set in the West: </span><span class=""line"" id=""tln_0170"">There is your monie that I had to keepe.</span></p></dd></dl>"
171,15,7,"<dl><dt><span class=""line"" id=""tln_0171-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0171"">Goe beare it to the Centaure, where we host, </span><span class=""line"" id=""tln_0172"">And stay there Dromio, till I come to thee; </span><span class=""line"" id=""tln_0173"">Within this houre it will be dinner time, </span><span class=""line"" id=""tln_0174"">Till that Ile view the manners of the towne, </span><span class=""line"" id=""tln_0175"">Peruse the traders, gaze vpon the buildings, </span><span class=""line"" id=""tln_0176"">And then returne and sleepe within mine Iune, </span><span class=""line"" id=""tln_0177"">For with long trauaile I am stiffe and wearie. </span><span class=""line"" id=""tln_0178"">Get thee away.</span></p></dd></dl>"
179,1,1,"<dl><dt><span class=""line"" id=""tln_0179-speech"">Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0179"">Many a man would take you at your word, </span><span class=""line"" id=""tln_0180"">And goe indeede, hauing so good a meane.</span></p></dd></dl>"
182,7,4,"<dl><dt><span class=""line"" id=""tln_0182-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0182"">A trustie villaine sir, that very oft, </span><span class=""line"" id=""tln_0183"">When I am dull with care and melancholly, </span><span class=""line"" id=""tln_0184"">Lightens my humour with his merry iests: </span><span class=""line"" id=""tln_0185"">What will you walke with me about the towne, </span><span class=""line"" id=""tln_0186"">And then goe to my Inne and dine with me?</span></p></dd></dl>"
187,9,5,"<dl><dt><span class=""line"" id=""tln_0187-speech"">E. Mar.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0187"">I am inuited sir to certaine Marchants, </span><span class=""line"" id=""tln_0188"">Of whom I hope to make much benefit: </span><span class=""line"" id=""tln_0189"">I craue your pardon, soone at fiue a clocke, </span><span class=""line"" id=""tln_0190"">Please you, Ile meete with you vpon the Mart, </span><span class=""line"" id=""tln_0191"">And afterward consort you till bed time: </span><span class=""line"" id=""tln_0192"">My present businesse cals me from you now.</span></p></dd></dl>"
193,8,1,"<dl><dt><span class=""line"" id=""tln_0193-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0193"">Farewell till then: I will goe loose my selfe, </span><span class=""line"" id=""tln_0194"">And wander vp and downe to view the Citie.</span></p></dd></dl>"
195,1,0,"<dl><dt><span class=""line"" id=""tln_0195-speech"">E. Mar.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0195"">Sir, I commend you to your owne content.</span></p></dd></dl>"
197,27,10,"<dl><dt><span class=""line"" id=""tln_0197-speech"">Ant.</span></dt><dd><p class=""speech""> <span class=""line"" id=""tln_0197"">He that commends me to mine owne content, </span><span class=""line"" id=""tln_0198"">Commends me to the thing I cannot get: </span><span class=""line"" id=""tln_0199"">I to the world am like a drop of water, </span><span class=""line"" id=""tln_0200"">That in the Ocean seekes another drop, </span><span class=""line"" id=""tln_0201"">Who falling there to finde his fellow forth, </span><span class=""line"" id=""tln_0202"">(Vnseene, inquisitiue) confounds himselfe. </span><span class=""line"" id=""tln_0203"">So I, to finde a Mother and a Brother, </span><span class=""line"" id=""tln_0204"">In quest of them (vnhappie a) loose my selfe. </span><span class=""line"" id=""tln_0205""><p><span class=""stage"">Enter Dromio of Ephesus.</span></p></span><span class=""line"" id=""tln_0206"">Here comes the almanacke of my true date: </span><span class=""line"" id=""tln_0207"">What now? How chance thou art return&rsquo;d so soone.</span></p></dd></dl>"
208,20,9,"<dl><dt><span class=""line"" id=""tln_0208-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0208"">Return&rsquo;d so soone, rather approacht too late: </span><span class=""line"" id=""tln_0209"">The Capon burnes, the Pig fals from the spit; </span><span class=""line"" id=""tln_0210"">The clocke hath strucken twelue vpon the bell: </span><span class=""line"" id=""tln_0211"">My Mistris made it one vpon my cheeke: </span><span class=""line"" id=""tln_0212"">She is so hot because the meate is colde: </span><span class=""line"" id=""tln_0213"">The meate is colde, because you come not home: </span><span class=""line"" id=""tln_0214"">You come not home, because you haue no stomacke: </span><span class=""line"" id=""tln_0215"">You haue no stomacke, hauing broke your fast: </span><span class=""line"" id=""tln_0216"">But we that know what &rsquo;tis to fast and pray, </span><span class=""line"" id=""tln_0217"">Are penitent for your default to day.</span></p></dd></dl>"
218,4,1,"<dl><dt><span class=""line"" id=""tln_0218-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0218"">Stop in your winde sir, tell me this I pray? </span><span class=""line"" id=""tln_0219"">Where haue you left the mony that I gaue you.</span></p></dd></dl>"
220,5,2,"<dl><dt><span class=""line"" id=""tln_0220-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0220"">Oh sixe pence that I had a wensday last, </span><span class=""line"" id=""tln_0221"">To pay the Sadler for my Mistris crupper: </span><span class=""line"" id=""tln_0222"">The Sadler had it Sir, I kept it not.</span></p></dd></dl>"
223,3,3,"<dl><dt><span class=""line"" id=""tln_0223-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0223"">I am not in a sportiue humor now: </span><span class=""line"" id=""tln_0224"">Tell me, and dally not, where is the monie? </span><span class=""line"" id=""tln_0225"">We being strangers here, how dar&rsquo;st thou trust </span><span class=""line"" id=""tln_0226"">So great a charge from thine owne custodie.</span></p></dd></dl>"
227,10,5,"<dl><dt><span class=""line"" id=""tln_0227-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0227"">I pray you iest sir as you sit at dinner: </span><span class=""line"" id=""tln_0228"">I from my Mistris come to you in post: </span><span class=""line"" id=""tln_0229"">If I returne I shall be post indeede. </span><span class=""line"" id=""tln_0230"">For she will scoure your fault vpon my pate: </span><span class=""line"" id=""tln_0231"">Me thinkes your maw, like mine, should be your cooke, </span><span class=""line"" id=""tln_0232"">And strike you home without a messenger.</span></p></dd></dl>"
233,2,2,"<dl><dt><span class=""line"" id=""tln_0233-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0233"">Come Dromio, come, these iests are out of season, </span><span class=""line"" id=""tln_0234"">Reserue them till a merrier houre then this: </span><span class=""line"" id=""tln_0235"">Where is the gold I gaue in charge to thee?</span></p></dd></dl>"
236,1,0,"<dl><dt><span class=""line"" id=""tln_0236-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0236"">To me sir? why you gaue no gold to me?</span></p></dd></dl>"
237,1,1,"<dl><dt><span class=""line"" id=""tln_0237-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0237"">Come on sir knaue, haue done your foolishnes, </span><span class=""line"" id=""tln_0238"">And tell me how thou hast dispos&rsquo;d thy charge.</span></p></dd></dl>"
239,10,2,"<dl><dt><span class=""line"" id=""tln_0239-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0239"">My charge was but to fetch you fr&otilde; the Mart </span><span class=""line"" id=""tln_0240"">Home to your house, the Ph&oelig;nix sir, to dinner; </span><span class=""line"" id=""tln_0241"">My Mistris and her sister staies for you.</span></p></dd></dl>"
242,5,4,"<dl><dt><span class=""line"" id=""tln_0242-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0242"">Now as I am a Christian answer me, </span><span class=""line"" id=""tln_0243"">In what safe place you haue bestow&rsquo;d my monie; </span><span class=""line"" id=""tln_0244"">Or I shall breake that merrie sconce of yours </span><span class=""line"" id=""tln_0245"">That stands on tricks, when I am vndispos&rsquo;d: </span><span class=""line"" id=""tln_0246"">Where is the thousand Markes thou hadst of me?</span></p></dd></dl>"
247,12,4,"<dl><dt><span class=""line"" id=""tln_0247-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0247"">I haue some markes of yours vpon my pate: </span><span class=""line"" id=""tln_0248"">Some of my Mistris markes vpon my shoulders: </span><span class=""line"" id=""tln_0249"">But not a thousand markes betweene you both. </span><span class=""line"" id=""tln_0250"">If I should pay your worship those againe, </span><span class=""line"" id=""tln_0251"">Perchance you will not beare them patiently.</span></p></dd></dl>"
252,1,0,"<dl><dt><span class=""line"" id=""tln_0252-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0252"">Thy Mistris markes? what Mistris slaue hast thou?</span></p></dd></dl>"
253,2,2,"<dl><dt><span class=""line"" id=""tln_0253-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0253"">Your worships wife, my Mistris at the Ph&oelig;nix; </span><span class=""line"" id=""tln_0254"">She that doth fast till you come home to dinner: </span><span class=""line"" id=""tln_0255"">And praies that you will hie you home to dinner.</span></p></dd></dl>"
256,0,1,"<dl><dt><span class=""line"" id=""tln_0256-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0256"">What wilt thou flout me thus vnto my face </span><span class=""line"" id=""tln_0257"">Being forbid? There take you that sir knaue.</span></p></dd></dl>"
258,15,1,"<dl><dt><span class=""line"" id=""tln_0258-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0258"">What meane you sir, for God sake hold your hands: </span><span class=""line"" id=""tln_0259"">Nay, and you will not sir, Ile take my heeles.</span></p></dd></dl>"
261,37,10,"<dl><dt><span class=""line"" id=""tln_0261-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0261"">Vpon my life by some deuise or other, </span><span class=""line"" id=""tln_0262"">The villaine is ore-wrought of all my monie. </span><span class=""line"" id=""tln_0263"">They say this towne is full of cosenage: </span><span class=""line"" id=""tln_0264"">As nimble Iuglers that deceiue the eie: </span><span class=""line"" id=""tln_0265"">Darke working Sorcerers that change the minde: </span><span class=""line"" id=""tln_0266"">Soule-killing Witches, that deforme the bodie: </span><span class=""line"" id=""tln_0267"">Disguised Cheaters, prating Mountebankes; </span><span class=""line"" id=""tln_0268"">And manie such like liberties of sinne: </span><span class=""line"" id=""tln_0269"">If it proue so, I will be gone the sooner: </span><span class=""line"" id=""tln_0270"">Ile to the Centaur to goe seeke this slaue, </span><span class=""line"" id=""tln_0271"">I greatly feare my monie is not safe.</span></p></dd></dl>"
275,6,2,"<dl><dt><span class=""line"" id=""tln_0275-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0275"">Neither my husband nor the slaue return&rsquo;d, </span><span class=""line"" id=""tln_0276"">That in such haste I sent to seeke his Master? </span><span class=""line"" id=""tln_0277"">Sure Luciana it is two a clocke.</span></p></dd></dl>"
278,17,5,"<dl><dt><span class=""line"" id=""tln_0278-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0278"">Perhaps some Merchant hath inuited him, </span><span class=""line"" id=""tln_0279"">And from the Mart he&rsquo;s somewhere gone to dinner: </span><span class=""line"" id=""tln_0280"">Good Sister let vs dine, and neuer fret; </span><span class=""line"" id=""tln_0281"">A man is Master of his libertie: </span><span class=""line"" id=""tln_0282"">Time is their Master, and when they see time, </span><span class=""line"" id=""tln_0283"">They&rsquo;ll goe or come; if so, be patient Sister.</span></p></dd></dl>"
284,11,0,"<dl><dt><span class=""line"" id=""tln_0284-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0284"">Why should their libertie then ours be more?</span></p></dd></dl>"
285,4,0,"<dl><dt><span class=""line"" id=""tln_0285-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0285"">Because their businesse still lies out adore.</span></p></dd></dl>"
286,5,0,"<dl><dt><span class=""line"" id=""tln_0286-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0286"">Looke when I serue him so, he takes it thus.</span></p></dd></dl>"
287,0,0,"<dl><dt><span class=""line"" id=""tln_0287-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0287"">Oh, know he is the bridle of your will.</span></p></dd></dl>"
288,0,0,"<dl><dt><span class=""line"" id=""tln_0288-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0288"">There&rsquo;s none but asses will be bridled so.</span></p></dd></dl>"
289,19,10,"<dl><dt><span class=""line"" id=""tln_0289-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0289"">Why, headstrong liberty is lasht with woe: </span><span class=""line"" id=""tln_0290"">There&rsquo;s nothing situate vnder heauens eye, </span><span class=""line"" id=""tln_0291"">But hath his bound in earth, in sea, in skie. </span><span class=""line"" id=""tln_0292"">The beasts, the fishes, and the winged fowles </span><span class=""line"" id=""tln_0293"">Are their males subiects, and at their controules: </span><span class=""line"" id=""tln_0294"">Man more diuine, the Master of all these, </span><span class=""line"" id=""tln_0295"">Lord of the wide world, and wilde watry seas, </span><span class=""line"" id=""tln_0296"">Indued with intellectuall sence and soules, </span><span class=""line"" id=""tln_0297"">Of more preheminence then fish and fowles, </span><span class=""line"" id=""tln_0298"">Are masters to their females, and their Lords: </span><span class=""line"" id=""tln_0299"">Then let your will attend on their accords.</span></p></dd></dl>"
300,1,0,"<dl><dt><span class=""line"" id=""tln_0300-speech"">Adri.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0300"">This seruitude makes you to keepe vnwed.</span></p></dd></dl>"
301,2,0,"<dl><dt><span class=""line"" id=""tln_0301-speech"">Luci.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0301"">Not this, but troubles of the marriage bed.</span></p></dd></dl>"
302,1,0,"<dl><dt><span class=""line"" id=""tln_0302-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0302"">But were you wedded, you wold bear some sway.</span></p></dd></dl>"
303,1,0,"<dl><dt><span class=""line"" id=""tln_0303-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0303"">Ere I learne loue, Ile practise to obey.</span></p></dd></dl>"
304,6,0,"<dl><dt><span class=""line"" id=""tln_0304-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0304"">How if your husband start some other where?</span></p></dd></dl>"
305,1,0,"<dl><dt><span class=""line"" id=""tln_0305-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0305"">Till he come home againe, I would forbeare.</span></p></dd></dl>"
